时政 	 总指挥 常万全 宣布 神舟 七号 发射成功 总指挥 常万全 宣布 ： 神舟 七号 载人 飞船 进入 预定 轨道 ， 发射 圆满成功 ！ 
 时政 	 胡锦涛 为 翟志刚 刘伯明 景海鹏 颁发 奖章 和 证书 中新网 11 月 7 日电   庆祝 神舟 七号 载人 航天 飞行 圆满成功 大会 今天上午 10 点 在 人民大会堂 召开 。 胡锦涛 亲自 为 翟志刚 、 刘伯明 、 景海鹏 颁发 “ 航天 功勋 奖章 ” 和 证书 。         胡锦涛 向 航天 英雄 表示 热烈祝贺 和 诚挚 慰问 
 时政 	 胡锦涛 ： 我国 加速 跻身 世界 航天 大国 ( 全文 ) 人民网 科技 北京人民大会堂 11 月 7 日电   庆祝 神舟 七号 载人 航天 飞行 圆满成功 大会 今天 在 北京 举行 ， 中共中央 总书记 、 国家 主席 、 中央军委 主席 胡锦涛 同志 讲话 。 全文如下 ： 同志 们 ： 今年 9 月 ， 在 全党全军 全国 各族人民 团结奋斗 ， 奋勇 夺取 四川 汶川 特大 地震 抗震救灾 斗争 重大胜利 ， 成功 举办 北京 奥运会 、 残奥会 之后 ， 神舟 七号 载人 航天 飞行 又 获得 了 圆满成功 。 我国 3 名 航天员 首次 成功 实施 空间 出舱 活动 和 空间科学 实验 ， 实现 了 我国 空间 技术 发展 的 重大 跨越 。 这一 举世瞩目 的 伟大成就 向 世界 宣告 ， 中国 已 成为 世界 上 第三个 独立 掌握 空间 出舱 关键技术 的 国家 。 我国 航天员 太空行走 迈出 的 一 小步 ， 代表 着 我们 在 科技 创新 征程 上 迈出 的 一大步 。 这是 我国 载人 航天事业 发展史 上 的 又 一 重要 里程碑 ， 是 我们 建设 创新型 国家 取得 的 又 一 标志性 成果 ， 是 中国 人民 攀登 世界 科技 高峰 的 又 一 伟大 壮举 ， 是 中华民族 为 人类 探索 利用 外层空间 作出 的 又 一 卓越贡献 。 全体 中华儿女 都 为 伟大祖国 取得 的 这 一 辉煌成就 感到 无比 荣耀 和 自豪 ， 广大 航天 工作者 为 祖国 和 人民 建立 的 卓越 功勋 ， 党和人民 将 永远 铭记 ！ 今天 ， 我们 在 这里 隆重集会 ， 热烈庆祝 神舟 七号 载人 航天 飞行 圆满成功 ， 号召 全党全军 全国 各族人民 学习 和 发扬 载人 航天 精神 ， 万众一心 、 众志成城 ， 奋发图强 、 拼搏 奉献 ， 努力 为 夺取 全面 建设 小康社会 新 胜利 、 开创 中国 特色 社会主义 事业 新 局面 而 团结奋斗 。 首先 ， 我 代表 党中央 、 国务院 和 中央军委 ， 向 全体 参加 神舟 七号 载人 航天 飞行 任务 研制 、 建设 、 试验 的 广大 科技 工作者 、 航天员 、 干部职工 、 解放军 指战员 ， 向 荣获 “ 航天 英雄 ” 荣誉称号 和 航天 功勋 奖章 的 翟志刚 同志 ， 向 荣获 “ 英雄 航天员 ” 荣誉称号 和 航天 功勋 奖章 的 刘伯明 、 景海鹏 同志 ， 向 所有 为 我国 航天事业 作出贡献 的 同志 们 ， 表示 热烈 的 祝贺 和 诚挚 的 慰问 ！ 向 热情 支持 和 关心 我国 航天事业 发展 的 全国 各族人民 和 香港 同胞 、 澳门 同胞 、 台湾同胞 以及 海外 华侨 华人 ， 向 关心 我国 航天事业 发展 的 国际友人 ， 表示 衷心 的 感谢 ！ 同志 们 ！ 我国 载人 航天事业 ， 是 在 改革开放 伟大 历史进程 中 决策 实施 和 不断 推进 的 。 早 在 上个世纪 80 年代 ， 以 邓小平 同志 为 核心 的 党 的 第二代 中央 领导集体 审时度势 ， 明确 把 发展 载人 航天事业 纳入 发展 高技术 的 “ 863 ” 计划 。 以 江泽民 同志 为 核心 的 党 的 第三代 中央 领导集体 ， 面对 世界 科技进步 突飞猛进 、 综合国力 竞争 日趋激烈 的 新 形势 ， 作出 了 实施 载人 航天 工程 的 重大 战略决策 。 党 的 十六大 以来 ， 党中央 从 世界 科技 大势 和 中国 特色 社会主义 事业 全局 出发 ， 适应 我国 科技事业 发展 的 战略 要求 ， 对 我国 载人 航天 工程 第二步 、 第三步 发展 作出 全面规划 。 载人 航天 工程 实施 16 年来 ， 各 系统 各 单位 和 广大 航天 工作者 团结一心 、 群策群力 、 锐意 创新 、 拼搏 奉献 ， 突破 一大批 拥有 自主 知识产权 的 核心 关键技术 ， 先后 实现 从 无人 飞行 到 载人 飞行 、 从 一人 一天 到 多人多 天 、 从 舱内 实验 到 出舱 活动 等 重大 跨越 ， 为 我国 航天事业 发展 开辟 了 广阔 前景 。 载人 航天 工程 不仅 有力 带动 了 我国 基础科学 和 应用科学 相关 领域 加速 发展 ， 促进 了 科技成果 向 现实 生产力 转化 ， 为 经济社会 发展 提供 了 重要 推动 力量 ， 而且 培养 造就 了 一支 能够 站 在 世界 科技前沿 、 勇于开拓 创新 的 高素质 人才队伍 ， 探索 出 依托 重大 工程 培养 创新型 人才 和 领军人物 的 有效途径 和 体制 机制 。 广大 航天 工作者 大力 发扬 以 爱国主义 为 核心 的 民族 精神 和 以 改革 创新 为 核心 的 时代精神 ， 培育 形成 了 特别 能 吃苦 、 特别 能 战斗 、 特别 能 攻关 、 特别 能 奉献 的 载人 航天 精神 ， 为 全党全军 全国 各族人民 沿着 中国 特色 社会主义 道路 奋勇前进 增添 了 精神力量 。 神舟 七号 载人 航天 飞行 圆满成功 ， 充分 展示 了 改革开放 30 年来 我国 显著 提高 的 经济 实力 、 科技 实力 、 综合国力 ， 进一步 增强 了 全体 中华儿女 的 民族 自信心 和 自豪感 ， 进一步 坚定 了 全党全军 全国 各族人民 继续 推进改革 开放 和 社会主义 现代化 建设 的 决心 和 信念 ， 对于 我们 在 中国 特色 社会主义 道路 上 ， 实现 中华民族 伟大 复兴 必将 产生 重大 而 深远 的 影响 。 这一 成就 再 一次 向 世人 昭示 ： 中华民族 是 勤劳 智慧 、 富有 创新 精神 和 创造 能力 的 民族 ， 是 自强不息 、 勇于 战胜 一切 艰难险阻 的 民族 ， 是 爱好和平 、 积极 为 人类 和平 与 发展 的 崇高 事业 不懈 奋斗 的 民族 。         相关 阅读 ：         胡锦涛 向 航天 英雄 表示 热烈祝贺 和 诚挚 慰问 
 时政 	 蔡 英文 称 暴力 是 黑社会 滋事   与 民进党 无关 台海 网 11 月 7 日讯   据 中 评社 报道 ， 民进党 发起 两天 游行 ， 发生 多宗 流血事件 ， 约 百名 警察 受伤 。 民进党 主席 蔡 英文 今天 晚上 却 声称 ， 暴力 与 民进党 无关 ， 是 黑道 干 的 。 她 又 说 ， 民进党 今天 的 游行 下午 5 点半 已 结束 ， 晚上 发生 在 圆山 饭店 前 的 违法 暴力 抗争 ， 与 民进党 无关 。   发动 民众 上街 抗争 并 声称 会 负起 全责 的 蔡 英文 ， 今天 晚上 亲自 作出 切割 ， 撇清 责任 。 她 说 ， 有些 暴力 的 行为 是 一些 黑道份子 ， 故意 混入 滋事 ， 强调 并 不 认识 这些 人 。 
 时政 	 解放军 最后 一支 驰援 四川 地震 灾区 建制 团 将 撤离 中新社 北川 十一月 七日 电 ( 王永孝 徐叶青 ) 今天下午 ， 经 第二炮兵 某 工程 团 官兵 五个 半月 艰苦 鏖战 ， 北川县 擂鼓 镇至 禹里 乡 三十六 公里 的 “ 生命 通道 ”   正式 抢通 。 至此 ， 四川 地震 灾区 所有 受阻 主干 公路 已 全部 贯通 。 第二炮兵 某 工程 团自 五月 十四日 进入 地震 灾区 以来 ， 已 连续 奋战 一百八十 天 。 根据 中央军委 命令 ， 他们 将 于 十一月 十日 撤离 灾区 ， 返营 归建 。 因 四川省 省道 三 0 二线 北川 至 茂县 段 ， 大部 路基 变成 唐家山 堰塞湖 “ 河床 ” ， 北川 禹里 乡 等 十二个 少数民族 乡镇 成为 “ 与世隔绝 ” 的 “ 孤岛 ” ， 六 万多名 受灾 群众 重建家园 受阻 。 从 北川 进入 禹里 乡 等 地 运送 救灾物资 ， 需 绕行 五百多 公里 ， 急需 开辟 一条 就近 的 “ 生命 通道 ” 。 遵照 中央军委 命令 ， 第二炮兵 会同 四川省 、 绵阳市 交通部门 冒 着 余震 、 堰塞湖 、 山体 滑坡 等 高 危险 情 ， 穿 高山 峡谷 ， 钻 原始 密林 ， 先后 进行 四次 勘探 ， 最后 选择 的 从 北川 擂鼓 镇到 禹里 乡 ， 纵穿 北川 峡谷 ， 开辟 一条 新 的 绕行 路线 ， 从 原来 的 绕行 五百多 公里 改为 三十六 公里 。 五月 二十一日 ， 由 先后 成功 打通 “ 北川 生命 通道 ” 、 降服 老鹰 山 堰塞湖 的 第二炮兵 某 工程 团 和 武警 交通 部队 某部 “ 两头 夹击 ” 。 该 工程 团 承担 了 施工 难度 最大 的 二十公里 路段 。 第二炮兵 、 成都军区 、 武警 交通 部队 和 绵阳市 有关 单位 负责人 共同 出席 了 今天 的 交接仪式 。 ( 完 ) 
 时政 	 财政部 ： 社保 基金 有望 纳入 预算 监管 本报讯   ( 记者 杨华云 ) 目前 ， 全国 各类 社保 基金 积累 额近 2.5 万亿元 ， 但 五项 基金 的 年 平均 收益率 不到 2% ， 安全 与 贬值 风险 加大 。 昨天 ， 在 由 人 保部 等 32 家 中央 单位 举办 的 中国 社保 论坛 上 ， 财政部 副 部长 丁学东 表示 ， 在 社保 基金 管理机制 方面 ， 将 加强 基金 预算 管理 ， 建立 社保 基金 预算 体系 ， 以 增强 基金 收支 的 约束力 ， 加强 基金 的 社会 监督 。 同时 与会 的 国家审计署 副 审计长 余效 明则 表示 ， 推动 社保 预算 制度 的 建立 ， 已 是 社保 审计 战略目标 的 一部分 。 余效明 表示 ， 社保 审计 重点 将 从 查错 纠弊 逐步 转向 对 基金 的 绩效 审计 ， 将 检讨 社保 制度 的 缺陷 、 评价 现行 社保 政策 运行 效果 和 基金 运营 绩效 当作 重要 内容 。 今后 社保 审计 的 重点 ， 余效明 介绍 ， 将 是 监督 财政 调整 支出 结构 ， 落实 政府 对 社保 的 投入 责任 ， 监督 主管部门 落实 社保 征缴 责任 。 而 在 资金分配 和 支付 上 ， 审计 部门 将 揭露 和 查处 社保 资金分配 和 支付 方面 各种 直接 损害 民众 利益 的 问题 ， 比如 擅自 提高 社保 门槛 、 降低 保障 水平 、 欠发 社保 资金 、 随意 克扣 、 优亲 厚友 等 问题 。 -   相关 新闻 中国 将 研究 建立 弹性 退休 制据 新华社 电   财政部 副 部长 丁学东 昨日 说 ， 在 明确 最低 退休年龄 的 基础 上 研究 建立 弹性 退休 制度 ， 建立 养老金 水平 与 退休年龄 密切 挂钩 的 计发 办法 ， 遏制 不合理 的 提前退休 现象 。 丁学东 表示 ， 要 进一步 增强 基本 养老保险 缴费 与 待遇 享受 之间 的 挂钩 机制 ， 研究 建立 基本 养老金 正常 调整机制 。 按照 医药卫生 总体 改革方案 要求 ， 研究 建立 医疗 费用 分担 机制 以及 医疗 服务 和 药品 市场 竞争机制 ， 控制 医疗 费用 不合理 增长 ， 促进 医疗保险 基金 健康 运行 。 
 时政 	 陈云林 一行 搭 周末 包机 回到 北京 中新网 北京 11 月 7 日电   海峡两岸关系协会 会长 陈云林 及 海协会 协商 代表团 圆满结束 访台 行程 ， 今天下午 13 时 50 分许 搭乘 华航 周末 包机 回到 北京 。 中台办 、 国台办 主任 王毅 到 首都机场 迎接 陈云林 一行 。 海基会 今天 早上 在 台北 圆山 饭店 为 陈云林 一行 举行 了 欢送 仪式 ， 海基会 董事长 江丙坤 和 海 协会会长 陈云林 先后 发表 讲话 。 陈云林 表示 ， 这 一趟 台北 之 行 ， 完成 了 两岸 同胞 期待已久 ， 交给 海基会 与 海协会 的 光荣 使命 。 五天 前 ， 他 带 着 大陆 十三亿 同胞 对 两千 三百万 台湾同胞 的 深情厚意 而 来 ， 今天 也 将 带 着 两千 三百万 台湾同胞 对 大陆同胞 的 深切 友情 、 理解 和 支持 离开 台湾 。 他 相信 ， 未来 的 路 还 很长 ， 未来 还 很 可能 会 遇到 这样 、 那样 的 困难 ， 但是 我们 一定 会 有所 担当 ， 两会 将 不负 两岸 同胞 的 期待 ， 为 两岸 同胞 继续 做出 有益 的 事情 。 陈云林 今天 再 一次 深情 感谢 维安 警员 ， 称 这些 警员 在 这 四天 里 所 做 的 工作 令其 终身难忘 。 他 同时 对 圆山 饭店 工作人员 及 新闻界 表示感谢 。 陈云林 动情 表示 ， “ 今日 的 离别 预示 明日 的 相逢 ， 我们 带回 你们 的 深情厚谊 ， 也 期待 在 不久 的 将来 ， 有 更 多 的 台湾 朋友 到 大陆 参访 、 旅行 。 我们 向 各位朋友 郑重 承诺 ， 你们 所到之处 将 是 一片 和谐 ， 一路 春风 。 在 圆山 饭店 为 陈云林 送行 的 江丙坤 亦 对 此次 两会 台北 会谈 的 成果 感到 满意 。 江丙坤 说 ， 陈云林 一行 访台 只有 四天 的 时间 ， 行程 短促 紧张 ， 但 成果 丰硕 。 今天 台湾 一些 媒体 做 了 民调 ， 有 一个 媒体 说 这次 会谈 台湾 民众 百分之五十 二是 肯定 的 ， 另 一个 媒体 说 百分之五十 六是 肯定 的 。 也就是说 ， 我们 的 努力 没有 白费 ， 因为 这是 攸关 人民 福祉 的 工作 。 他 表示 ， 两会 会 继续 努力 ， 以 实现 两岸 和平 与 经济 双赢 。 陈云林 访台 主要 活动 回顾 陈云林 一行 是 于 11 月 3 日 中午 乘 包机 飞抵 台北 桃园 机场 的 。 随后 ， 在 具有 浓厚 中国 古典建筑 风格 的 台北 圆山 大饭店 ， 陈云林 和 江丙坤 张开 双臂 ， 紧紧 拥抱 在 了 一起 。 这是 两岸 两会 领导人 历史 上 首次 在 台湾 相聚 ， 标志 着 两会 制度化 协商 进程 中 新 里程 的 开始 。 访台 期间 ， 陈云林 和 江丙坤 分别 代表 两岸 签署 了 空运 、 海运 、 邮政 和 食品安全 四项 协议 ， 并 就 改善 大陆 居民 赴 台湾 旅游 措施 ， 及 加强 两岸 工商 、 航运 和 金融 合作 达成 了 许多 共识 。 两岸 同胞 渴望 三十年 的 通航 、 通邮 正 变为 现实 ， “ 大三通 ” 时代 的 到来 将 把 人们 带入 “ 一日 生活圈 ” ， 两岸 真正 实现 “ 千里 一日 还 ” 。 11 月 4 日 ， 在 台北 圆山 大饭店 举行 的 二次 “ 陈江 会谈 ” 中 ， 江丙坤 首先 起身 为 陈云林 倒水 ， 一段 讲话 后 ， 陈云林 亦 起身 为 江丙坤 倒水 ， 两个 短短的 几秒钟 的 镜头 ， 见证 了 两会 商谈 气氛 的 温馨 与 轻松 。 在 6 日 上午 举行 的 两岸 互赠 珍稀 动植物 记者会 上 ， 陈云林 宣布 ， 在 履行 完 相关 手续 后 ， 大陆 两只 熊猫 即将 来台 ， 落户 台北市 木栅 动物园 。 而 有 “ 植物 活化石 ” 之称 的 珙桐 树苗 亦 将 落户 台湾 。 他 同时 代表 大陆同胞 接受 台湾同胞 赠予 的 长 鬃 山羊 和 梅花鹿 。 6 日 上午 ， 台湾当局 领导人 马英九 在 台北 宾馆 会见 了 海 协会会长 陈云林 及 协商 代表团 主要 成员 、 海基会 董事长 江丙坤 等 海基会 人员 。 宾主双方 在 亲切友好 的 气氛 中 ， 互赠 了 礼品 。 马英九 赠给 陈云林 的 礼品 是 台湾 少数民族 达悟 人 独木舟 造型 的 著名 莺歌 陶作 ， 象征 “ 两岸 三通 、 春暖花开 、 前景 光明 ” 。 陈云林 回 赠给 马英九 的 是 著名画家 韩美林 的 画作 《 骏马 图 》 。 此行 ， 陈云林 拜会 了 台湾海基会 前 董事长 辜振甫 遗孀 辜严倬云 女士 ， 表达 秉承 汪辜 二老 精神 、 继续 他们 未竟事业 的 决心 。 陈云林 还 前往 台塑集团 创办人 王永庆 灵堂 吊唁 ， 希望 签署 的 有关 协议 能 实现 王永庆 对 “ 三通 ” 的 期待 ， 告慰 其 在天之灵 。 他 也 先后 参加 了 中国国民党 荣誉 主席 连战 、 亲民党 主席 宋楚瑜 和 国民党 主席 吴伯雄 的 宴请 ， 并 拜会 了 慈济 证严 法师 。 在 最后 一 晚 举行 的 海协会 答谢 晚宴 上 ， 陈云林 提到 ， 短短几天 ， 认识 了 很多 新 朋友 ， 观看 了 电影 《 海角 七号 》 ， 还 品尝 了 台湾 少数民族 所 酿制 的 “ 马拉 桑 ” 酒 等 。 台湾 广大 同胞 勤劳 、 热情 、 真情 ， 以及 如 兄弟姐妹 般 说不清 却 感到 十分 亲切 的 那种 感情 ， 给 他 及 海协会 同仁 留下 了 深刻印象 。 江丙坤 在 海协会 答谢 晚宴 上 致辞 时以 “ 机缘 、 机遇 、 歉疚 、 感谢 、 期许 ” 十字 ， 表达 了 他 对 此次 两会 协商 的 感受 。 他 表示 ， 两会 台北 会谈 完美 落幕 ， 希望 今后 立即 展开 作业 ， 就 此次 达成 的 议题 进行 认真 推动 。   中国国民党 发言人 李建荣 今天 说 ， 两岸 两会 终于 完成 “ 有来有往 ” 互访 ， 为 两会 制度性 协商 奠定 历史性 里程碑 。 
 时政 	 中国 将 建立 跨 省区 跨 流域 人工 增雨 体系 中新网 11 月 8 日电   中国气象局 日前 下发 关于 贯彻 《 中共中央 关于 推进 农村 改革 发展 若干 重大 问题 的 决定 》 的 指导 意见 提出 ， 要 建立 跨 省区 、 跨 流域 联合 人工 增雨 作业 体系 ， 开展 针对 农业 抗旱 、 水库 蓄水 、 缓解 高温 及 森林草原 防火 的 人工 增雨 作业 。 围绕 农村 产业 结构调整 ， 调整 人工 防雹 作业 布局 ， 开展 联防 作业 。 意见 还 说 ， 要 加强 农村 雷电 灾害 防御 。 开展 农村 雷电 灾害 普查 和 隐患 排查 ， 编制 农村 雷电 灾害 风险 区划 。 建立 农村 重点 区域 雷电 观测网 ， 加强 农村 雷电 监测 预警 。 制定 农村 防雷 技术规范 和 防雷 标准 ， 定期 开展 农村 防雷 装置 检测 。 加强 农村 雷电 易发 及 高发区 建筑物 、 农村 中小学 等 人员 密集 场所 、 农村 供电 设施 及 易燃易爆 场所 等 的 雷电 防护 工程建设 。 意见 要求 加大 农村 风能 、 太阳能 等 可 再生能源 开发利用 力度 ； 推动 乡镇 农村 信息 服务站 建设 ， 在 每 一个 村屯 设立 气象 信息员 ， 加强 农村 气象 灾害 普查 ， 编制 农村 气象 灾害 应急 预案 ， 形成 “ 政府 主导 、 部门 联动 、 社会 参与 ” 防范 应对 气象 灾害 的 格局 ； 建立 适合 现代农业 发展 的 农业 气象观测 站网 ， 有 针对性 地 开展 气象条件 对 粮食 、 经济作物 等 稳产高产 以及 设施 农业 、 精准 农业 、 特色 农业 影响 的 试验 。 
 时政 	 台 警方 将 陈云林 访台 期间 滋事 分子 移送 法办 中新网 11 月 8 日电   据 “ 中央社 ” 报道 ， 大陆 海协会 长 陈云林 来台 期间 ， 台湾 警方 执行 “ 协和 ” 项目 的 维安 勤务 。 台北市 警局 今天 统计 ， “ 协和 ” 项目 期间 涉及 暴力 攻击 、 妨害 秩序 、 破坏 拒马 等 不法分子 ， 总计有 十八 人依 现行犯 送办 ， 其中 两人 遭 检方 收押 。 另外 ， 经 过滤 现场 搜证 录带 、 照片 ， 锁定 四十 人 ， 将 陆续 依法 传唤 。 台北市 政府 警察局 刑警大队 副大队长 李 文章 指出 ， 首波 遭 移送 的 十八 人 ， 分别 涉及 违反 “ 集会游行 法 ” 、 “ 妨害 秩序 ” 、 “ 妨害 公务 ” 等 罪嫌 ， 其中 李姓 、 陈姓 男子 遭 收押 。 报道 说 ， 警方 现正 持续 过滤 各 次 聚众 事件 搜证 资料 ， 以 涉及 “ 非法 聚众 ” 、 “ 暴力 攻击 ” 、 “ 妨害自由 ” 、 “ 妨害 公务 ” 分子 为 主要 目标 ， 已 锁定 四十 人 ， 将 制作 辨识 专刊 ， 查明 身分 后 依法 传唤 约 谈后 ， 再 移送 台北 地检署 侦办 。 陈云林 访台 期间 ， 警方 执行 代号 “ 协和 ” 的 维安 勤务 。 包括 本月 四日 台北市 国宾饭店 、 五日 台北市 晶华 酒店 ， 以及 六日 在 中山南路 景福门 、 中山北路 中山 桥 分别 发生 聚众 抗议 事件 ， 在 五日 与 六日 两天 都 发生 有 暴力 攻击 他人 、 民代 、 官员 、 警察 ， 以及 破坏 车辆 、 铁 拒马 、 消防车 等 不法 情事 。 
 时政 	 四 部门 部署 大学生 纳入 基本 医疗保险 试点 中新网 11 月 8 日电   据 财政部 网站 消息 ， 11 月 7 日 ， 人力资源 和 社会保障部 、 教育部 、 卫生部 和 财政部 联合 召开 电视电话会议 ， 对 贯彻落实 国务院办公厅 日前 下发 的 《 关于 将 大学生 纳入 城镇居民 基本 医疗保险 试点 范围 的 指导 意见 》 ( 以下 简称 《 指导 意见 》 ) 做出 了 部署 。 财政部 部长 助理 张通 在 会上 讲话 时 指出 ， 这项 改革 对 建立健全 覆盖 城乡居民 的 医疗保障 制度 体系 、 深化 医药卫生 体制改革 ， 以及 保障 广大 高校 大学生 基本 医疗 需求 具有 重要 意义 。 张通 要求 ， 各级 财政部门 要 切实 提高 思想认识 ， 认真 按照 《 指导 意见 》 的 要求 ， 落实 好 财政 补助 政策 ， 切实加强 资金 管理 ， 提高 资金 使用 效益 ， 积极 配合 有关 部门 扎实 推进 这项 工作 。 首先 ， 要 按照 规定 及时 足额 安排 大学生 参加 城镇居民 基本 医疗保险 所 需 补助 资金 。 《 指导 意见 》 规定 ， 大学生 参加 城镇居民 基本 医疗保险 的 个人 缴费 标准 和 政府 补助 标准 ， 按照 当地 中小学生 参加 城镇居民 基本 医疗保险 的 相应 标准 执行 。 考虑 到 目前 城镇居民 基本 医疗保险 一般 实行 地市级 统筹 ， 为了 减轻 高校 比较 集中 地区 政府 的 负担 ， 《 指导 意见 》 明确要求 按照 高校 隶属 关系 ， 由 同级 财政 按照 当地 学生 参保 的 政府 补助 标准 安排 补助 ， 中央财政 对 地方 所属 高校学生 参保 按照 现行 城镇居民 参保 补助 办法 安排 补助 。 各级 财政 在 本级 预算 安排 上 ， 要 将 大学生 参保 补助 与 其他 城镇居民 参保 补助 统筹 考虑 。 其次 ， 各级 财政部门 在 安排 医疗 救助 资金 、 家庭 经济 困难 学生 资助 等 补助 资金 时 ， 要 考虑 经济 困难 家庭 大学生 的 医疗 救助 需求 ， 通过 医疗 救助 制度 、 家庭 经济 困难 学生 资助 体系 和 社会 慈善 捐助 等 途径 ， 解决 好 家庭 经济 困难 学生 个人 应 缴纳 基本 医疗保险 费 和 按规定 应由 个人 承担 的 医疗 费用 。 第三 ， 要 结合 目前 公费医疗 经费 安排 、 大学生 门诊 医疗 费用 报销 水平 及 学校 开展 健康 教育 、 疫病 防控 工作 资金 需求 等 情况 ， 合理安排 补助 资金 ， 继续 支持 做好 高校 大学生 日常 医疗 工作 。 最后 ， 各级 财政部门 要 积极 会同 有关 部门 切实加强 大学生 医疗保险 保障 资金 管理 。 高校 所在地 财政部门 应 将 上级 财政 拨付 的 补助 资金 ， 连同 本级 财政 安排 的 补助 资金 ， 及时 纳入 城镇居民 基本 医疗保险 基金 财政 专户 。 通过 困难 学生 资助 体系 和 医疗 救助 制度 安排 的 补助 资金 ， 也 应 及时 划转 到 居民 医保 基金 财政 专户 。 同级 财政 安排 的 大学生 日常 医疗 补助 资金 应 严格执行 部门 预算 管理 的 有关 规定 。 要 切实加强 对 各项 补助 资金 的 日常 监督 检查 ， 确保 资金 专款专用 、 合理 使用 。 
 时政 	 国防部长 梁光烈 出访 海湾 四国 新华网 北京 11 月 8 日电   应 阿联酋 、 阿曼 、 巴林 、 卡塔尔 四国 国防部 的 邀请 ， 国务委员 兼 国防部长 梁光烈 一行 8 日 离开 北京 ， 赴 上述 四国 进行 正式 友好访问 。 
