时尚 	 组图 ： 2008 年度 最佳 着装 女明星 在 这 一年 里 ， 有人 横空出世 ， 有人 惊艳 复出 ， 有人 一如既往 地 追求 无懈可击 的 公众形象 ， 有人 从 过去 的 一片 混沌 中 蜕变 出 好 品味 。 值得 我们 效仿 的 不止 是 她们 的 穿衣 风格 ， 还有 她们 的 自信 与 勇气 。 Rihanna 无论是 在 流行 乐坛 还是 时尚界 ， 她 都 是 首屈一指 的 itgirl 。 从 华丽 的 Giambattista   Valli 黄色 晚礼服 到 新潮 的 ZacPosen 紫色 羽毛 裙 她 都 能 演绎 得 头头是道 。 她 率先 戴上 今年 最 流行 的 夸张 耳饰 ， 她 的 短发 也 被 许多 女明星 效仿 。 虽然 她 的 大腿 很 粗壮 ， 却 总是 自信 满满地 穿 上 迷你裙 ， 而且 人们 也 总是 夸 它们 既 修长 又 健美 。 Gwyneth   Paltrow 她 的 复出 惊艳 了 整个 时尚 圈 ， 35   岁 的 她 显得 比 以往 任何 时候 都 更 完美 。 她 能 把 短裙 穿 出 经典 和 高贵 感 ， 这 一方面 要 归功于 她 那双 总是 稳稳 穿着 超 高跟鞋 的 无可挑剔 的 美腿 ， 另一方面 是因为 她 最 青睐 黑 白色 。 另外 ， 今年 的 Bob 头 风潮 也 是 她 带动 起来 的 。 Fergie 她 终于 告别 了 露 肚皮 、 扭大 臀 的 混沌 时期 ， 一个 精致 版 的 Fergie 诞生 了 。 从 Grammy 颁奖典礼 上 简洁 的 CalvinKlein 黄色 晚礼服 到 平时 上街 时 的 帅气 宽松 短裤 和 娃娃 领短 上衣 ， 她 的 转变 告诉 我们 ， 能够 收放自如 的 女人 才 是 最 迷人 的 。 Anne   Hathaway 她 在 这 一年 里 的 感情生活 并 不顺 坦 ， 但是 这 丝毫 不 妨碍 她 在 红地毯 上 熠熠生辉 。 拥有 高挑 丰满 的 身材 和 醒目 五官 的 她 不仅 可以 胜任 华丽 复古 的 Roberto   Cavalli 银色 单肩 裙 和 性感 的 Marchesa 黑色 高叉 礼服 ， 穿 黑色 中性 外套 戴小 礼帽 也 一样 很酷 。 
 时尚 	 组图 ： 13 妙招 全面 攻克 肉妹 身材 难题 “ 肉妹 ” 同样 也 爱美 ， 但 “ 肉妹 ” 往往 穿衣 苦恼 多多 。 有 什么 妙招 可以 遮掩 一下 小肉妹 的 身材 穿衣 问题 呢 ？ 那 就 用 13 妙招 全面 攻克 肉妹 身材 难题 吧 ！ 遮挡 法 利用 紧身裤 袜来 掩盖 粗壮 大腿 ， 其次 利用 同色 长靴 增加 修型 效果 ， 同时 增长 下半身 ， 上身 选择 长款 上衣 遮盖 一部分 臀部 。 裸露 法 首先 利用 过膝 长袜 和 迷你裙 打造出 只 露出 一 小节 大腿 的 效果 ， 随后 增加 高 跟 长靴 ， 3 段式 的 下半身 帮住 分散 实现 ， 同时 过膝 长袜 造成 长腿 效果 。 及 膝 连衣裙 包身 连衣裙 有效 的 修饰 完美 体型 ， 同时 利用 艳色 和 黑色 的 对比 效果 修饰 身材 。 蝴蝶 袖 、 蝙蝠 袖 、 喇叭口 都 可以 在 视觉 上 有 拉长 的 效果 ， 同时 有效 遮挡 粗壮 大腿 和 大臂 。 
 时尚 	 组图 ： “ 花样 女子 ” 秀爱 白领 套装 优雅 风范 OL 工作 辛苦 又 乏味 ， 有 什么 好 的 办法 解决 呢 ？ 用 穿衣 调整 美眉 们 的 心情 是 最好 的 良药 。 展现 职场 女人 的 干脆利落 的 同时 ， 也 渲扬 女人 特有 的 优雅 韵味 。 依然 做 一个 “ 刚 ” 与 “ 柔 ” 并存 的 女人 。 
 时尚 	 组图 ： 学 莫文蔚 7 招穿 出 黄金 比例 莫文蔚 从 出道 以来 ， 一直 给 人 率直 、 爽朗 、 自信 的 印象 。 她 的 造型 是 百变 再 百变 ， 而 她 的 身材 却是 永远 的 完美 比例 ， 如果 你 也 想要 这样 的 魔鬼身材 ， 就要 学会 她 的 金 比例 装扮 招数 。 
 时尚 	 组图 ： 暖春 美少女 钟情 可爱 彩色 小格格   编者按 ： 色彩 亮丽 的 格格 衬衫 ， 裙装 都 已 成为 春季 衣橱 必备 的 单品 ， 大小不一 的 格格 搭配 或 鲜艳 或 素雅 的 色彩 都 将 为 你 打造 属于 自己 的 时尚 造型 。 百搭 小格格 ， 今春 不 容错过 哦 。   点评 ： 蜡笔 色 十足 的 小格 衬衫 粉嫩 鲜艳 ， 与 卡其色 摆着 短裙 搭配 将 青春活力 尽情 洋溢 。 艳 黄色 的 小船 鞋 与 小格子 的 颜色 竞相 呼应 ， 女孩 的 甜美 展 格格 衬衫 露 无疑 。   点评 ： 蓝白色 格格 衬衫 颜色 十分 诱人 ， 在 牛仔 短裤 上配 上 粉色 背带 ， 俏皮 可爱 的 气质 犹 然而 生 ， 袜套 的 配合 是 卡哇伊 指数 骤然 升高 ， 这样 甜美 的 女生 怎能不 惹人 喜爱 呢 。   点评 ： 粉红色 小格子 将 粉嫩 路线 进行 到底 ， 搭配 咖啡色 礼帽 有些 西部 牛仔 的 感觉 ， 如果 有些 小 配饰 的 加盟 例如 眼镜 小 丝巾 等 都 会 营造 更为 潮流 的 风格 。   点评 ： 淡蓝色 小格子 有些 海军 风格 ， 将 衣角 系上 既 活泼 又 时尚 ， 与 深蓝色 铅笔 裤 搭配 简洁 干练 ， 帽子 虽然 有些 厚重 但 可爱 气质 却 尽情 流露 。 
 时尚 	 组图 ： 看 街边 美女 如何 夺人 眼球         编者按 ： 当 春天 温暖 和煦 的 阳光 照耀 在 我们 身上 ， 是不是 你 已经 按 耐不住 心中 的 蠢蠢欲动 ， 那 就 跟着 小编 一起 到 街上 ， 看看 早春 美女 们 如何 吸引 众人 目光 ， 一起 释放 我们 被 包裹 了 一冬 的 激情 。         点评 ： 青绿色 帽衫 充满 清新 与 活力 ， 镂空 的 白色 小 短裙 透着 一点 淑女 般的 小 性感 ， 浅口 鞋 搭配 粉色 袜套 既 保暖 又 能 增加 甜蜜 感 ， 整体 装束 俏皮 可爱 ， 青春 逼人 。         点评 ： 宽松 长衫 搭配 宽松 七分裤 适合 身材 高挑 的 女生 ， 层叠 混搭出 一点 异国 风情 ， 麻布 料 的 大 挎包 增强 随性 不羁 的 感觉 ， 藏青色 帽子 跳出 整体 色彩 基调 ， 显得 生动活泼 的 同时 ， 增加 一点 型 女 的 味道 。         点评 ： 宽松 长袖 的 露 肩 穿法 既 随性 又 显得 个性 十足 ， 白色 背心 增加 层次感 ， 搭配 布料 短裤 透着 休闲 运动 的 感觉 ， 黑色 裤袜 收缩 了 浅色 上装 带来 的 膨胀 感 ， 一顶 跳跃 耀眼 的 红色 针织 帽 让你在 众人 中 脱颖而出 。         点评 ： 及 膝 灰色 长款 帽衫 与 条纹 长衫 的 混 搭 ， 将 可爱 与 知性 完美 融合 ， 蓝色 围巾 既 使 整体 色彩 丰富 又 增加 时尚 度 。 
 时尚 	 组图 ： 筒 袜 + 高跟鞋 美腿 必备 武器 编者按 ： 六七十年代 的 电视剧 中 ， 很多 女星 都 会 穿着 中筒 袜 ， 有点 书生 气息 之 余 ， 又 非常 时尚 。 同色系 搭配 十分 协调 红色 调 的 袜配 同样 红色 感 的 高跟鞋 ， 整体 不是 最 协调 的 吗 ？ 鱼嘴 鞋 高贵 又 优雅 蓝色 配鱼 嘴 闪烁 高跟鞋 ， 优雅 感 非常 突出 。 明亮 的 黄色 同样 是 瘦 腿 的 必备 黄色 中筒 袜配 绑带 高跟鞋 ， 就是 时尚 之苑 。 黑色 丝袜 的 瘦 腿 功效 绝对 一流 一双 短靴 ， 一 又 丝袜 ， 还 需要 其它 吗 ？ 
 时尚 	 组图 ： 职场 OL 必备 之 干练 派 裤装 裤装 让 你 的 行动 更加 迅速 ， 带给 你 率性 的 力量感 ， 最先 穿 上 前卫 裤装 的 女性 ， 拥有 强硬 的 姿态 和 利落 的 作风 。 叱诧 商界 的 你 如果 需要 同 男性 竞争对手 一样 ， 拥有 干练 的 职场 形象 ，   裤装 永远 是 首选 。   干练 裤装 搭配 建议 ： 1 . 挺括 面料 可以 使得 时髦 的 阔 腿 裤 变得 干练 强势 。 配 上 短小 紧身 的 上衣 及超 高跟鞋 ， 雕塑 般 锋利 而 笔直 的 轮廓 顿时 呈现 。 2 . 商务 阔腿 长裤 一定 要 遮住 3 / 4   鞋跟 ，   这样 的 视觉 比例 才 会 适中 ， 永远 不要 穿 一条 只能 勉强 盖住 鞋面 的 阔 腿 裤 。 3 . 黑色 西装裤 是 商务 必备 单品 ， 如果 选择 提 臀 修身 款 ， 则 使 钢铁 般的 气场 柔和 不少 。 尤其 搭配着 露趾 高跟鞋 ， 脚踝 若隐若显 ， 不失 性感 。 
 时尚 	 组图 ： 要 买 就 买 混 搭率 200% 的 小 T恤 T恤 的 样式 看似 简单 却 最 多变 ， 有时 性感 ， 有时 俏皮 ， 还有 时 优雅 … … 不同 的 色彩 ， 不同 的 搭配 都 会 有 不 一样 的 感觉 ， 让 我们 一起 和 明星 学学 T恤 的 混 搭法 ， 搭配 出 各种 风格 的 自己 ！ 点评 ： 鲜艳 的 T恤 搭配 超短 热裤 时尚 又 有 活力 ， 酷酷 的 鸭舌帽 在 炎炎夏日 里 还 能 保护 肌肤 阻挡 强烈 的 阳光 ， 经典 的 条纹 T恤 总是 以 清新 明快 的 气质 展现 出来 ， 在 搭配 上 更是 能够 百变 搭配 ， 绝对 是 超值 选择 。 点评 ： 露肩 T恤 隐藏 着 低调 的 性感 ， 裸露 的 锁骨 十分 诱人 ， 甜甜的 淡 粉色 还 增加 了 几分 亲切 ， 搭配 长裤 是 不错 的 选择 ， 由此看来 ， 杨采妮 也 有 扮 嫩 的 嫌疑 哦 。 点评 ： gigi 梁咏琪 有着 高挑 的 身材 ， 穿 什么 都 好看 ， T恤 前 的 涂鸦 图案 个性 张扬 ， 涂鸦 T恤 在 本季 非常 抢手 ， 小 腰包 轻松 挎 在 腰间 ， 舒服 的 装扮 ， 旅程 现在 开始 ！ 点评 ： T恤 上 的 抽象 印花 图案 特别 受欢迎 ， 唯美 的 线条 展现 女性 温柔 似水 的 性格 ， 搭配 超短 牛仔裙 秀出 你 的 美腿 ， 超凡脱俗 ， 这样 就 不会 觉得 保守 啦 ！ 
 时尚 	 组图 ： 韩范儿 美女 基本 款 搭 出酷 感 街头 LOOK   编者按 ： 韩国 的 年轻 女孩 可以 简单 的 穿 出 街头 最有 型 的 装扮 ， 无论是 T恤 还是 卫衣 ， 无论是 牛仔裤 还是 运动裤 ， 在 她们 的 身上 流露出 一种 有些 颓废 的 气息 ， 对 一切 事情 的 淡然 冷冷的 酷感 成为 很多 女生 喜欢 的 风格 ， 而且 超 流行 的 街头 装扮 可以 穿出 MM 想要 的 任何 风格 ， 包括 运用 休闲 的 、 甜美 可爱 的 或者 连 有些 性感 的 味道 ， 都 可以 穿 搭 出来 。 正 所谓 简单 就是 王道 ， 这些 简单 的 服装 那个 女生 不是 拥有 好几件 ？ T恤 、 牛仔裤 、 球鞋 以及 帽子 ， 都 是 平常 我们 出门 的 穿 搭 ， 很多 人 也 会 觉得 简单 的 搭配 不会 吸引 到 别人 的 目光 ， 那 也许 是 在 挑选 衣服 上 有些 误差 ， 喜欢 随性 且 有 型 的 女生 可以 参考 这个 女生 的 穿 搭 ， 保证 你 也 能 这么 有型 。 清爽 的 条纹 可是 今年 非常 热门 的 元素 ， 大大的 圆领 领 设计 可以 搭配 挂 脖吊 带来 穿 ， 再 加上 蝙蝠 袖 宽松 款式 的 设计 ， 休闲 的 单品 同时 让 女人味 也 十分 充足 。 也 可以 将 内 搭 的 小 背心 露出 底边 ， 简单 的 穿 出 层次 搭配 ， 搭配 上 紧身 的 牛仔裤 ， 上 松下 紧 的 穿 搭 让 身型 更加 显瘦 。 要说 韩 MM 心中 超 实用 的 服装 单品 就要 非属 卫衣 不可 了 ， 我们 可以 看到 她们 可以 用 一件 很 简单 的 卫衣 无论是 与 牛仔裤 、 短裙 、 短裤 搭配 ， 都 是 能够 达到 自己 想要 的 风格 ， 甜美 的 、 帅气 的 还是 休闲 的 依靠 一件 百搭 的 卫衣 就 可以 简单 的 搭 出 ， 不过 还是 要 讲究 颜色 上 的 相互配合 喔 。 T恤 是 不管 男生 还是 女生 都 拥有 一大堆 的 单品 ， 而 女生 对 T恤 的 要求 则 更是 要 高 一些 ， 但 基本 款 的 T恤 都 是 以 简洁 素雅 为主 ， 不过 想要 穿 出 抢眼 的 搭配 ， 款式 简洁 的 T恤 通常 要 在 细节 上 取胜 啦 。 比如 宽大 的 造型 ， 足以 可以 让 人 在 第一印象 中 把 你 记住 ， 再 加上 鲜活 的 图案 更是 不能 少 的 设计 元素 喔 。 
 时尚 	 组图 ： 黑白 灰   24 小时 不 出错 的 大 明星   编者按 ： 从早到晚 ， 如同 天色 一般 ， 服饰 的 色彩 也 由 浅 变深 ， 黑白 灰是 你 最 保险 也 最 经典 的 选择 。   1 、 经典 风衣 衣橱 中 是否 有件 经典 的 高品质 风衣 ， 最能体现 一个 女人 的 品位 ， 扎染 的 渐变色 是 本季 最新 流行 。   左 ： 渐变色 风衣   Burberry   Prorsum   内衬 白色 纱裙   Celine   细带 高跟鞋   Chanel   2 、 摩登 裤装 除了 黑色 小 礼服 ， 晚上 还 能 穿 什么 ？ 扎染 的 黑色 牛仔裤 打破 传统 ， 让 你 的 晚装 更加 摩登 年轻 。   中 ： 露肩 衬衫 、 紧身胸衣   Miu   Miu   渐变色 牛仔裤 、 拼色   2.55 包   Chanel   水晶项链 、 手链   Martine   Wester   银色 系带 高跟鞋   Miu   Miu   3 、 高调 运动装 虽然 是 休闲装 ， 但 品质 也 绝对 要 注意 ， 质地 高级 的 棉质 连衣裙 配 上 透明 太阳帽 ， 让 你 成为 休闲 贵族 。   右 ： 白色 连身 裙 、 透明 帽檐 网球 帽   Louis   Vuitton   黑色 皮带   Dior   银色 系带 高跟鞋   Miu   Miu   水晶 与 链条 拼接 项链   H & M   明星 演绎 ： 穿衣 女王 Gwyneth   Paltrow 用 黑色 小 外套 与 亮片 紧身 裙 混 搭 ， 各种 场合 都 游刃有余 。 同样 是 黑色 ， 看 Kate   Hudson 和 Anne   Hathaway 用 不同 的 剪裁 和 材质 穿 出 变化 。 Diane   Kruger 的 黑白 灰 怎么 穿 也 不 单调 ， 关键 赢 在 小 细节 。 
 时尚 	 组图 ： 10 大 当红 女星 示范 穿衣 秀 丰胸 谁 是 娱乐圈 里 美胸 明星 ， 你 一定 随口 就 可以 说出 几位 ， 但是 如果 问 娱乐圈 里 最美 的 十位 美胸 明星 是 谁 ， 你 可能 会答 不 上来 。 其实 胸部 的 美丽 要 通过 大小 、 形状 ， 以及 服装 的 配合 多方面 来 考察 ， 尤其 是 服饰 对于 表现 展现 性感 胸部 也 十分 重要 ， 毕竟 我们 看到 的 都 是 穿着 衣服 的 明星 ， 所以 小编 经过 多方 调查 、 评估 ， 推出 圈内 最会 穿衣 显胸 最美 的 十大 美女 ， 一 起来 学习 一下 吧 。   萧蔷 纯白 裹 身裙 ， 把 身材 的 曲线 很 好 展现 ， 平坦 的 小腹 敢于 挑战 挑剔 的 白色 ， 丰满 的 身材 轻松 达到 爆乳 的 视觉效果 。 萧蔷 是 特别 会 保养 的 女星 之一 ， 尤其 是 胸部 的 保养 尤其 出名 ， 这 款 娇嫩 的 高 腰线 深 V 领 连衣裙 ， 让 她 的 美胸 看起来 更加 丰满 。   舒淇 这 款 肉色 礼服 让 舒淇 看起来 温文尔雅 ， 半露 的 胸部 表达 了 女性 温柔 的 气息 和 性感 的 本质 ， 荷叶 边 和 蝴蝶结 都 为 她 增添 了 温柔 甜美 的 感觉 。 舒淇 的 罩杯 虽然 不 大 ， 但是 性感 却 丝毫 也 不 比 其它 美胸 明星 逊色 ， 简单 的 颈部 挎 带上 装让 胸部 看起来 随意 、 自然 。 
 时尚 	 组图 ： 京城 美眉   活力 养眼 的 酷 装扮 天气 已经 有所 好转 ， 时不时 会 有 艳阳高照 的 时候 ， 街头 上 女孩儿 们 的 装扮 也 越来越 养眼 ， 各种 靓丽 的 色彩 和 轻盈 的 服装 都 不断 给 人们 带来 青春 洋溢 的 活力 气息 。 （ 图片 来源 ： 夜 时光 ( blog ) ） 简单 的 运动 装束 也 遮挡 不住 这位 MM 的 明星像 ， 粉色 的 运动 外套 修身 又 舒适 ， 色彩 将 她 的 脸色 衬托 的 更加 富有 光泽 。 在 成群 的 姑娘 开始 追求 贵妇 风 的 时候 ， 谁 能 成为 最后 的 佼佼者 ， 就要 学习 一下 这位 美女 的 妆容 和 搭配 功力 了 。 非常 精致 的 面庞 ， 搭配 厚重 的 毛线 围巾 怎能不 让 人 眼前一亮 。 绿色 的 深浅 混 搭 突出 层次 。 顺直 的 长发 加上 酷酷 的 黑 墨镜 使得 这位 美女 的 气场 格外 强大 ， 虽然 服装 简洁 没有 太 多 装饰 同样 能够 吸引 眼球 。 
 时尚 	 组图 ： 六妙 招小 西服 穿 出百变 风格 西装 外套 ， 这件 职场 女人 如影随形 的 服装 ， 有没有 被 你 重视 过 ？ 其实 ， 她 不是 呆板 、 保守 的 代名词 ， 而是 百变 性感 的 语汇 。 无论 你 处于 何种 时态 ， 她 都 能 营造 出 不同 的 你 。 尝试 一次 吧 ， 派对 时 、 晨起 散步 时 ， 与 蕾丝 为伍 时 ， 和 乖张 相伴 时 。 PVC 朋克 姿态 装扮 的 亮点 在于 高腰 背带 裙 的 阔形 与 PVC 西装 夹克 在 色彩 和 质地 上 的 对冲 ， 而 条纹 背心 更 延续 了 内部 搭配 的 视觉效果 ， 使 整个 线条 非常 完整 。 睡裙   单车 时刻 睡裙 一样 的 柔软 吊带 不再 是 邋遢 符号 ， 只要 有酷 感 西服 和 收身 牛仔 混 搭 ， 酷感 立现 。 伟大 的 KLagerfeld 近年 发明 了 裤腿 卡 ， 你 可以 如上图 一般 DIY ， 令 牛仔裤 更娇 俏 ， 更 适合 骑单车 。 大 西服 的 恋曲 70 这种 卡其色 宽松 小领 西服 象征 70 年代 ， 如果 想 营造 怀旧 的 小小 哀愁 ， 索性 就 套 上 阔 腿 裤 ， 假以 西服 背带 。 内衬 的 图绘 T恤 ， 则 是 以 现代 绘本 笔触 怀念 过去 。 藕荷色 更 平添 了 感伤 。 公主 裙 的 疯狂 公主 裙外 搭配 西服 ， 已经 不再 是 Kate   Moss 的 专利 ， 甚至 已 不 新鲜 ， 那 就 甩开 西装 的 束缚 ， 改着 马甲 吧 。 为 避免 臃肿 孕妇 状 ， 就 在 马甲 上加 一 两条 腰带 ， 非常 有 层次 显 腰身 。 
 时尚 	 组图 ： 如果 流行 男人 穿 裙子 女人 该 穿 啥 09 年 时尚 圈 大张旗鼓 的 推动 男装 中性 风 。 而且 大胆 到 男人 穿 裙子 . 现在 的 大势所趋 就是 男人 越来越 爱 穿 ， 女人 越来越 爱演 ， 这 两种 时尚 趋势 的 力道 孰轻孰重 很难 分辨 ， 关键 是 都 能 养眼 。 ( 图 / 香北 blog ) 男装 世界 的 着装 规则 在 2009 年 的 春夏 将 变得 更加 多元 ， 谁 说 男人 只是 中规中矩 和 硬朗 廓型 。 这个 春夏 去 看 男性 世界 的 时装秀 ： 最近 在 纽约 大都会 博物馆 ， 举办 了 一个 “ 男裙 展览 ” ， 这个 名叫 “ 勇敢 的 心 ： 男人 穿 上 裙子 ” 的 展览 ， 展示 了 100 多条 不同 款式 的 裙子 ， 它们 向 男人 们 发出 了 呼吁 ： 裙子 女人 能 穿 ， 男人 也 能 穿 。 无独有偶 ， 最近 ， 英国 一家 服装 公司 试图 推出 男士 裙装 ， 希望 男士 穿裙 成为 全球 风尚 。 这家 名为 MIDAS 的 服装 公司 与 网络 公司 合作 ， 在 互联网 上 推销 男裙 。 公司 创办人 表示 ， MIDAS 暂时 无意 在 高级 时装店 出售 男裙 ， 但 相信 最终 男裙 会 成功 打入 高级 服装店 ， 他 说 ， 男人 要 抛弃 传统 ， 解放思想 ， 迎接 一个 新 的 时代 的 到来 。 据 透露 ， 目前 男裙 主要 买主 来自 美国 、 英国 和 北欧国家 。 在 人们 的 印象 中 ， 女士 穿 裙装 天经地义 ， 再 平常 不过 的 事情 。 而 男士 穿 裙装 就 有些 “ 另类 ” ， 给 人 不伦不类 的 感觉 。 其实 ， 男人 穿 裙子 的 历史悠久 ， 根据 历史 记载 ， 从 商朝 起 男性 就 开始 穿着 裙子 ， 而 女性 直到 汉朝 才 开始 形成 穿 裙子 的 风俗习惯 。 后来 男人 因 各种 原因 穿 裙子 的 逐渐 减少 ， 只有 苏格兰 、 缅甸 等 地区 至今 还 保留 着 男人 穿 裙 的 习俗 。 其实 ， 男人 穿 裙子 并 不 难看 ， 英国 查尔斯 王子 穿 上 苏格兰 褶裥 短裙 并 没有 引起 人们 的 惊异 。 几百年 来 ， 妇女 一点一滴 地 吸收 了 男人 的 一些 装饰 打扮 。 先是 在 16 世纪 ， 和 男人 一样 ， 妇女 也 戴 上 了 帽子 ； 到 了 17 世纪 ， 妇女 出门 打猎 和 骑马 时 ， 和 男子 一样 也 穿 上 了 夹克衫 ； 到 了 19 世纪 ， 妇女 也 穿 起 裤子 来 了 。 对于 许多 男人 来说 ， 裙子 的 女性 含义 太 强烈 了 ， 他们 担心 如果 穿 上 裙子 ， 男子 气质 或者 男性 特征 ， 将会 受到 质疑 。 目前 服装 大师 们 设计 的 男裙 中 ， 许多 仍 和 裤子 结合 在 一起 ， 目的 是 要 增强 对 男人 的 吸引力 。 现代 第一条 男人 裙子 ， 实际上 还是 两条 裤腿 ， 用 一条 加肥 的 裤腿 盖 着 另 一条 裤腿 。 从 经济 上 说 ， 男人 穿 裙子 也 是 十分 有利 的 。 全球 有 61 亿 人口 ， 其中 男性 人口 约 占 58.99% ， 而且 男性 的 消费 能力 远远 强于 女性 。 一旦 男性 进入 裙子 消费市场 ， 将 使 该 市场 的 需求 大大增加 ， 从而 有利于 刺激 全球 消费 。 如今 的 社会 已经 日趋 中性化 ， 男女 的 内涵 彼此 交织 混杂 ， 阳刚 的 男人 可以 呈现出 温柔 细腻 的 一面 ， 而 原来 小鸟依人 的 女人 也 可以 非常 独立 、 果断 ， 不再 优柔寡断 。 于是 ， 男女 的 着装 不再 受 传统 的 影响 ， 谁 说 男人 就 一定 非得 穿 裤子 而 不能 穿 裙子 呢 ？ 其实 ， 在 北京 、 上海 、 广州 等 地 一些 时尚 聚会 中 ， 男人 穿 裙子 已 不再 是 件 让 人 瞠目结舌 的 事 。 今天 我们 还 当 新鲜事 ， 津津乐道 地 谈论着 “ 穿 裙子 的 男人 ” ， 也许 不久以后 ， 满大街 都 是 穿 裙子 的 男人 了 。 
 时尚 	 组图 ： 泡泡 时尚 装穿 不好 很 难看 穿 泡泡 裙 的 小窍门 ： 泡泡 裙 令人 看来 年轻 些 ， 尤其 适合 一些 臀部 较大 或 较 扁 的 女士 穿 ， 因为 可以 掩饰 身材 上 的 缺点 。 用料 方面 最好 选些 软身 的 ， 如雪纺 或 棉质 ， 因为 要 到 脚 ， 太硬 绷 绷 的 布料 裙型 就 不够 自然 ， 加上 今年 流行 浅色 ， 如白 、 银 、 灰 ， 营造 浪漫 的 公主 气质 尤其 年轻 的 女孩 ， 穿 了 更 青春 些 ， 窍门 是 注意 裙身 长度 ， 如果 脚短 的 ， 紧记 要 穿 一对 高跟鞋 搭 出来 才 最 漂亮 。 流行 趋势 ： 泡泡 潮 ， 在 裙 脚 、 袖口 或 裤脚 盈盈 一握 ， 握出 大小 不同 的 球球 造型 ， 可爱 又 玩味 十足 ， 为 这个 夏天 加添 一点 欢乐 元素 。 明星 示范 ： 邓丽欣 这个 打扮 好 难看 ， 她 明显 将 裙 脚 刻意 弄短 ， 却令 她 的 大腿 看来 更 粗 ， 其实 她 应该 将 长度 控制 在 膝盖 之上 ， 就 不会 出现 这种 情况 。 明星 示范 ： 经常 被 批   评 衣着 品味 奇差 的 林嘉欣 ， 2007 年 穿 上 Lanvin 的 灰色 泡泡 裙 ， 令 她 的 身形 显得 胖 了 一截 ， 加上 一个 遮掩 着 半边 脸 的 曲发 ， 实在 有点 怪怪的 。 明星 示范 ： 穿 气球 裙 最 好看 当然 非 关之琳 莫属 ， 常常 见 她 穿 吊带裙 ， 身形 十分 匀称 ， 比例 均匀 。 穿 气球 裙 首要条件 ， 是 双脚 要 又 长 又 美 ， 但 不 适宜 太瘦 ， 而 她 就 刚刚 好 。 其实 这个 款式 不单 只 适合 年轻 女孩 ， 只要 勇于 尝试 ， 长度 及 比例 都 恰当 ， 任何 年龄 都 可以 穿 得 好看 。 明星 示范 ： 以 阿 Sa 的 身高 ， 懂得 将 裙 脚裁 短 ， 令人 看上去 更高 ， 这是 泡泡 裙 长度 和 比例 要 恰当 的 最佳 例子 。 
 时尚 	 组图 ： 熟女 减龄装 一周 搭配 法 熟女 穿 对 减龄 装 只 需 三步 ， 首先 要选 对 款式 ， 随意 的 搭配 和 休闲 的 款式 最佳 ； 其次 要 学会 混 搭 色彩 ， 撞色 ， 拼色 ， 纯色 都 是 不错 的 选择 ； 最后 要 注意 配饰 的 选择 ， 不必 很 精致 但 一定 要 个性 夸张 。 掌握 这 三步 ， 让 你 年轻 10 岁 不是 梦 。   周一 ： T恤 + 马甲 + 萝卜 裤 随意 的 白色 插画 T恤 搭配 白色 小 马甲 ， 超级 适合 上身 比例 好 的 女生 ， 马甲 的 细节 处用 装饰 钉 打造 线条 感 精致 又 帅气 。 蓝色 的 萝卜 裤是 修饰 腿 形 的 最佳 选择 。   周二 ： 海魂衫 + 牛仔装 今 年春夏 条纹 当道 ， 具有 浓浓 海军 风格 的 T恤 和 长衫 是 最 贴心 的 选择 。 帅气 的 牛仔装 是 永远 不败 的 经典 ， 高台 底 高跟鞋 在 脚踝 处 的 绑带 很 性感 。   周三 ： 雪纺 连衣裙 + 水 蓝色 铅笔 裤雪纺衫 轻柔 又 浪漫 是 春夏 每个 女生 都 爱 的 热门 单品 ， 但是 简单 的 做 裙装 穿 未免 有些 俗气 。 搭配 一条 卷边 铅笔 裤 既 修身 又 有 型 ， 拉链 的 鱼 嘴 短靴 搭配 很 讨巧 。   周四 ： 蕾丝 短裙 + 大号 条纹 手 包 白色 是 甜美 装扮 的 最佳 选择 ， 早春 搭配 提高 人气 还 能 激增 桃花运 。 蕾丝 花边 小 女人 味十足 ， 黑色 的 短袜 搭配 黑白 红底 短靴 个性 十足 。 本季 你 一定 要 拥有 一件 条纹 单品 ， 大号 的 手袋 足够 抢眼 。 
 时尚 	 组图 ： 看 欧美 明星 初春 如何 穿衣   copy 不 走样   编者按 ： 春天 虽然 到 了 ， 温度 有时 还 回低 的 让 人 害怕 ， 每天 早出晚归 的 mm 们 ， 还是 要 穿些 保暖 的 春装 。 怎样 能 做到 既 美丽 有 不失 保暖 效果 呢 ， 下面 我们 就 跟着 大牌 明星 来 学学 吧 ！ 点评 ： 字母 帽衫 搭配 直筒 牛仔裤 和 短筒 靴 是 初春 出门 的 不二 选择 ， 短筒 毛绒 靴 既 舒服 又 不是 美感 ！ 点评 ： 粉色 长款 字母 帽衫 搭配 裤袜 也 是 今年初 春 最 IN 的 选择 ， 在 配上 相似 款式 的 短筒 粉色 靴子 ， 是不是 很 有 明星 的 感觉 呢 ！ 点评 ： 天蓝色 长款 外衣 配上 瘦 腿 牛仔裤 ， 典型 的 欧美 时尚 范儿 。 点评 ： 牛仔裤 与 蓝色 长款 衣 搭配 也 不错 哦 ， 再配 上 黑色 休闲鞋 和 宽松 购物 包 ， 简直 与 明星 同出一辙 哦 ！ 
